Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
Chinese Sparrowhawk,Accipiter soloensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",40809,3826552,298514987,TRUE,FALSE
African Silverbill,Euodice cantans,Passeriformes,Estrildidae (Waxbills and Allies),47798,3818482,307264554,FALSE,FALSE
White-throated Swift,Aeronautes saxatalis,Caprimulgiformes,Apodidae (Swifts),273986,3815132,50665563,FALSE,TRUE
Prothonotary Warbler,Protonotaria citrea,Passeriformes,Parulidae (New World Warblers),95977,3813720,134571478,FALSE,TRUE
Lineated Woodpecker,Dryocopus lineatus,Piciformes,Picidae (Woodpeckers),43116,3811840,354005280,TRUE,FALSE
Long-billed Gnatwren,Ramphocaenus melanurus,Passeriformes,Polioptilidae (Gnatcatchers),42109,3806330,319507468,TRUE,FALSE
Sparkling Violetear,Colibri coruscans,Caprimulgiformes,Trochilidae (Hummingbirds),41745,3804525,375162627,FALSE,FALSE
Red-chested Cuckoo,Cuculus solitarius,Cuculiformes,Cuculidae (Cuckoos),38898,3800980,361175859,TRUE,FALSE
Oriental Plover,Charadrius veredus,Charadriiformes,Charadriidae (Plovers and Lapwings),40219,3791837,352740819,TRUE,FALSE
Hypocolius,Hypocolius ampelinus,Passeriformes,Hypocoliidae (Hypocolius),42752,3791821,339200045,FALSE,FALSE
Large Hawk-Cuckoo,Hierococcyx sparverioides,Cuculiformes,Cuculidae (Cuckoos),37170,3791335,352591704,TRUE,FALSE
Patagonian Mockingbird,Mimus patagonicus,Passeriformes,Mimidae (Mockingbirds and Thrashers),44320,3780208,321546938,FALSE,FALSE
Red-lored Parrot,Amazona autumnalis,Psittaciformes,Psittacidae (New World and African Parrots),45643,3776188,355053672,TRUE,FALSE
Baglafecht Weaver,Ploceus baglafecht,Passeriformes,Ploceidae (Weavers and Allies),44029,3767217,373481541,TRUE,FALSE
Ash-breasted Sierra-Finch,Geospizopsis plebejus,Passeriformes,Thraupidae (Tanagers and Allies),39668,3767183,328345702,FALSE,FALSE
Red-naped Ibis,Pseudibis papillosa,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),39257,3764146,330743395,TRUE,FALSE
Bran-colored Flycatcher,Myiophobus fasciatus,Passeriformes,Tyrannidae (Tyrant Flycatchers),37095,3762338,335817570,TRUE,FALSE
Cape Teal,Anas capensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",37531,3758010,324097023,TRUE,FALSE
Violaceous Euphonia,Euphonia violacea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",39262,3750832,359375067,TRUE,FALSE
Gambel's Quail,Callipepla gambelii,Galliformes,Odontophoridae (New World Quail),166230,3749875,85894059,FALSE,TRUE
Dusky-headed Parakeet,Aratinga weddellii,Psittaciformes,Psittacidae (New World and African Parrots),44446,3746526,321116733,TRUE,FALSE
Antarctic Shag,Phalacrocorax bransfieldensis,Suliformes,Phalacrocoracidae (Cormorants and Shags),77023,3745523,184264157,FALSE,FALSE
Gray-faced Buzzard,Butastur indicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",46911,3741664,319965813,TRUE,FALSE
Morelet's Seedeater,Sporophila morelleti,Passeriformes,Thraupidae (Tanagers and Allies),38894,3736084,311667515,FALSE,FALSE
Green-barred Woodpecker,Colaptes melanochloros,Piciformes,Picidae (Woodpeckers),40554,3731037,335965242,TRUE,FALSE
Wren-like Rushbird,Phleocryptes melanops,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),37840,3726733,304765983,TRUE,FALSE
Saunders's Gull,Saundersilarus saundersi,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",42304,3726170,368861082,TRUE,FALSE
Greenish Elaenia,Myiopagis viridicata,Passeriformes,Tyrannidae (Tyrant Flycatchers),38243,3724071,361275227,TRUE,FALSE
Hill Prinia,Prinia superciliaris,Passeriformes,Cisticolidae (Cisticolas and Allies),41326,3719545,355067215,TRUE,FALSE
Savi's Warbler,Locustella luscinioides,Passeriformes,Locustellidae (Grassbirds and Allies),39445,3716509,378891086,TRUE,FALSE
Blackstart,Cercomela melanura,Passeriformes,Muscicapidae (Old World Flycatchers),41816,3715694,332935381,TRUE,FALSE
African Emerald Cuckoo,Chrysococcyx cupreus,Cuculiformes,Cuculidae (Cuckoos),43299,3711654,318734307,TRUE,FALSE
Belted Kingfisher,Megaceryle alcyon,Coraciiformes,Alcedinidae (Kingfishers),183209,3699839,73476541,TRUE,TRUE
