Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
Turner's Eremomela,Eremomela turneri,Passeriformes,Cisticolidae (Cisticolas and Allies),288,25448,2539413,TRUE,FALSE
Red-collared Mountain-Babbler,Turdoides rufocincta,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),261,25411,2553280,TRUE,FALSE
Long-tailed Woodnymph,Thalurania watertonii,Caprimulgiformes,Trochilidae (Hummingbirds),238,25291,2261123,TRUE,FALSE
Red-billed Tyrannulet,Zimmerius cinereicapilla,Passeriformes,Tyrannidae (Tyrant Flycatchers),261,25127,2219025,FALSE,FALSE
Blyth's Kingfisher,Alcedo hercules,Coraciiformes,Alcedinidae (Kingfishers),264,25084,2428676,TRUE,FALSE
Cerulean-capped Manakin,Lepidothrix coeruleocapilla,Passeriformes,Pipridae (Manakins),276,25063,2319679,FALSE,FALSE
Shrike-like Cotinga,Laniisoma elegans,Passeriformes,Tityridae (Tityras and Allies),284,25036,2096666,FALSE,FALSE
Antioquia Bristle-Tyrant,Phylloscartes lanyoni,Passeriformes,Tyrannidae (Tyrant Flycatchers),267,24973,2176800,FALSE,FALSE
Green-crowned Brilliant,Heliodoxa jacula,Caprimulgiformes,Trochilidae (Hummingbirds),272,24959,2297482,TRUE,FALSE
Mangrove Honeyeater,Gavicalis fasciogularis,Passeriformes,Meliphagidae (Honeyeaters),285,24832,2198994,TRUE,FALSE
Crescent-chested Babbler,Cyanoderma melanothorax,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",272,24814,2289620,TRUE,FALSE
Sumba Flycatcher,Ficedula harterti,Passeriformes,Muscicapidae (Old World Flycatchers),278,24803,1994008,TRUE,FALSE
North Moluccan Dwarf-Kingfisher,Ceyx uropygialis,Coraciiformes,Alcedinidae (Kingfishers),253,24778,2192925,FALSE,FALSE
Palm Lorikeet,Charmosyna palmarum,Psittaciformes,Psittaculidae (Old World Parrots),286,24732,1977344,TRUE,TRUE
Little Slaty Flycatcher,Ficedula basilanica,Passeriformes,Muscicapidae (Old World Flycatchers),274,24722,2029982,TRUE,FALSE
Long-billed Partridge,Rhizothera longirostris,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",299,24636,2267584,TRUE,FALSE
Clarke's Weaver,Ploceus golandi,Passeriformes,Ploceidae (Weavers and Allies),271,24494,2174124,TRUE,FALSE
Flame-rumped Tanager,Ramphocelus flammigerus,Passeriformes,Thraupidae (Tanagers and Allies),261,24446,2151044,TRUE,FALSE
Red Lark,Calendulauda burra,Passeriformes,Alaudidae (Larks),269,24349,2134269,TRUE,FALSE
Mindanao Bleeding-heart,Gallicolumba crinigera,Columbiformes,Columbidae (Pigeons and Doves),243,24006,2046724,TRUE,FALSE
Red-collared Woodpecker,Picus rabieri,Piciformes,Picidae (Woodpeckers),277,23993,2355149,FALSE,FALSE
Balsas Screech-Owl,Megascops seductus,Strigiformes,Strigidae (Owls),259,23885,2223425,FALSE,FALSE
Flammulated Owl,Psiloscops flammeolus,Strigiformes,Strigidae (Owls),253,23823,2020234,FALSE,TRUE
Duchess Lorikeet,Charmosyna margarethae,Psittaciformes,Psittaculidae (Old World Parrots),280,23751,2140955,TRUE,FALSE
Apapane,Himatione sanguinea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",302,23604,2028811,TRUE,FALSE
Ocellated Quail,Cyrtonyx ocellatus,Galliformes,Odontophoridae (New World Quail),276,23598,2166251,FALSE,FALSE
Red-hooded Tanager,Piranga rubriceps,Passeriformes,Cardinalidae (Cardinals and Allies),290,23575,2164433,FALSE,FALSE
New Britain Dwarf-Kingfisher,Ceyx sacerdotis,Coraciiformes,Alcedinidae (Kingfishers),265,23548,2054388,TRUE,FALSE
Double-banded Graytail,Xenerpestes minlosi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),283,23520,2344895,FALSE,FALSE
Blue-rumped Manakin,Lepidothrix isidorei,Passeriformes,Pipridae (Manakins),270,23484,2200029,FALSE,FALSE
Hook-billed Bulbul,Setornis criniger,Passeriformes,Pycnonotidae (Bulbuls),237,23381,2181689,TRUE,FALSE
Velvet Dove,Ptilinopus layardi,Columbiformes,Columbidae (Pigeons and Doves),264,23370,2001334,FALSE,FALSE
Shelley's Crimsonwing,Cryptospiza shelleyi,Passeriformes,Estrildidae (Waxbills and Allies),275,23333,1985687,TRUE,TRUE
Red-chested Flowerpecker,Dicaeum maugei,Passeriformes,Dicaeidae (Flowerpeckers),275,23322,2178331,TRUE,FALSE
Fiery-throated Fruiteater,Pipreola chlorolepidota,Passeriformes,Cotingidae (Cotingas),246,23169,1990380,FALSE,FALSE
Strong-billed Honeyeater,Melithreptus validirostris,Passeriformes,Meliphagidae (Honeyeaters),223,23156,2290484,TRUE,FALSE
Wallace's Fruit-Dove,Ptilinopus wallacii,Columbiformes,Columbidae (Pigeons and Doves),252,23004,2022771,TRUE,FALSE
Black-and-tawny Seedeater,Sporophila nigrorufa,Passeriformes,Thraupidae (Tanagers and Allies),253,22959,2322880,TRUE,FALSE
Short-tailed Pipit,Anthus brachyurus,Passeriformes,Motacillidae (Wagtails and Pipits),289,22887,2146578,FALSE,FALSE
Spot-breasted Laughingthrush,Garrulax merulinus,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),239,22797,2132775,FALSE,FALSE
Ashy-faced Owl,Tyto glaucops,Strigiformes,Tytonidae (Barn-Owls),260,22736,2021432,FALSE,FALSE
Gould's Shortwing,Brachypteryx stellata,Passeriformes,Muscicapidae (Old World Flycatchers),279,22736,2072324,FALSE,FALSE
Salvadori's Serin,Crithagra xantholaema,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",242,22653,1955823,TRUE,FALSE
Creamy-bellied Antwren,Herpsilochmus motacilloides,Passeriformes,Thamnophilidae (Typical Antbirds),255,22620,1917786,FALSE,FALSE
Townsend's Shearwater,Puffinus auricularis,Procellariiformes,Procellariidae (Shearwaters and Petrels),270,22565,2033404,FALSE,FALSE
Fulvous-breasted Flatbill,Rhynchocyclus fulvipectus,Passeriformes,Tyrannidae (Tyrant Flycatchers),273,22555,2064918,FALSE,FALSE
Streaked Berrypecker,Melanocharis striativentris,Passeriformes,Melanocharitidae (Berrypeckers and Longbills),228,22494,1831470,TRUE,FALSE
Cassia Crossbill,Loxia sinesciuris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",260,22428,2061826,FALSE,FALSE
Chestnut-crested Antbird,Rhegmatorhina cristata,Passeriformes,Thamnophilidae (Typical Antbirds),255,22412,1990946,FALSE,FALSE
Green-tailed Bristlebill,Bleda eximius,Passeriformes,Pycnonotidae (Bulbuls),244,22303,2024634,TRUE,FALSE
Red-fronted Lorikeet,Charmosyna rubronotata,Psittaciformes,Psittaculidae (Old World Parrots),230,22300,1794880,TRUE,FALSE
Taveta Golden-Weaver,Ploceus castaneiceps,Passeriformes,Ploceidae (Weavers and Allies),209,22277,1895729,TRUE,FALSE
Red-billed Pytilia,Pytilia lineata,Passeriformes,Estrildidae (Waxbills and Allies),240,22225,1966734,TRUE,FALSE
Yellow-throated White-eye,Zosterops metcalfii,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",220,22225,1952120,TRUE,FALSE
Mombasa Woodpecker,Campethera mombassica,Piciformes,Picidae (Woodpeckers),235,22124,2210931,TRUE,FALSE
Pacific Flatbill,Rhynchocyclus pacificus,Passeriformes,Tyrannidae (Tyrant Flycatchers),252,22110,2047360,TRUE,FALSE
Buff-throated Tody-Tyrant,Hemitriccus rufigularis,Passeriformes,Tyrannidae (Tyrant Flycatchers),246,22055,1939467,FALSE,FALSE
Vinous-breasted Sparrowhawk,Accipiter rhodogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",251,22007,2042262,TRUE,TRUE
Murphy's Petrel,Pterodroma ultima,Procellariiformes,Procellariidae (Shearwaters and Petrels),247,21990,1818225,FALSE,FALSE
Indigo-capped Hummingbird,Amazilia cyanifrons,Caprimulgiformes,Trochilidae (Hummingbirds),229,21831,2046469,TRUE,FALSE
Luzon Redstart,Phoenicurus bicolor,Passeriformes,Muscicapidae (Old World Flycatchers),243,21756,2148511,TRUE,FALSE
White-bellied Chachalaca,Ortalis leucogastra,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",260,21700,1885328,TRUE,FALSE
Blue-breasted Flycatcher,Cyornis herioti,Passeriformes,Muscicapidae (Old World Flycatchers),253,21697,2111905,TRUE,FALSE
Mali Firefinch,Lagonosticta virata,Passeriformes,Estrildidae (Waxbills and Allies),253,21692,2019791,TRUE,FALSE
Peruvian Recurvebill,Syndactyla ucayalae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),260,21612,1939729,TRUE,FALSE
Spotted Buttonquail,Turnix ocellatus,Charadriiformes,Turnicidae (Buttonquail),218,21604,1970668,TRUE,FALSE
Blackish Cinclodes,Cinclodes antarcticus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),240,21589,2065789,TRUE,FALSE
Brown Wood-Rail,Aramides wolfi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",255,21549,2049071,TRUE,FALSE
White-breasted Guineafowl,Agelastes meleagrides,Galliformes,Numididae (Guineafowl),208,21464,2072153,TRUE,FALSE
Red-billed Brushturkey,Talegalla cuvieri,Galliformes,Megapodiidae (Megapodes),258,21379,1920650,TRUE,FALSE
Crimson-fronted Barbet,Psilopogon rubricapillus,Piciformes,Megalaimidae (Asian Barbets),231,21314,1916850,TRUE,FALSE
Rufous-backed Inca-Finch,Incaspiza personata,Passeriformes,Thraupidae (Tanagers and Allies),248,21234,1782494,FALSE,FALSE
Madarasz's Tiger-Parrot,Psittacella madaraszi,Psittaciformes,Psittaculidae (Old World Parrots),258,21052,1930633,TRUE,FALSE
Nullarbor Quail-thrush,Cinclosoma alisteri,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),221,21016,1766678,TRUE,FALSE
Beesley's Lark,Chersomanes beesleyi,Passeriformes,Alaudidae (Larks),220,20987,1965319,FALSE,FALSE
Kashmir Nutcracker,Nucifraga multipunctata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",200,20987,1844056,TRUE,FALSE
Victoria Crowned-Pigeon,Goura victoria,Columbiformes,Columbidae (Pigeons and Doves),245,20961,1999869,TRUE,FALSE
Geomalia,Zoothera heinrichi,Passeriformes,Turdidae (Thrushes and Allies),221,20937,1833217,TRUE,FALSE
Dwarf Honeyguide,Indicator pumilio,Piciformes,Indicatoridae (Honeyguides),215,20791,1977591,TRUE,FALSE
Black-billed Flycatcher,Aphanotriccus audax,Passeriformes,Tyrannidae (Tyrant Flycatchers),239,20757,1908570,FALSE,FALSE
Brown-winged Starling,Aplonis grandis,Passeriformes,Sturnidae (Starlings),241,20726,1757512,TRUE,FALSE
Xantus's Hummingbird,Hylocharis xantusii,Caprimulgiformes,Trochilidae (Hummingbirds),239,20678,1896779,TRUE,FALSE
Olivaceous Piha,Snowornis cryptolophus,Passeriformes,Cotingidae (Cotingas),206,20650,1832772,FALSE,FALSE
Ring-necked Francolin,Scleroptila streptophora,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",222,20618,1849603,TRUE,FALSE
Dusky Spinetail,Synallaxis moesta,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),210,20570,1926560,FALSE,FALSE
Tatama Tapaculo,Scytalopus alvarezlopezi,Passeriformes,Rhinocryptidae (Tapaculos),221,20555,2103817,FALSE,FALSE
Moluccan Flycatcher,Myiagra galeata,Passeriformes,Monarchidae (Monarch Flycatchers),238,20404,1848999,TRUE,FALSE
Nahan's Francolin,Ptilopachus nahani,Galliformes,Odontophoridae (New World Quail),191,20396,1931444,TRUE,FALSE
White-headed Steamer-Duck,Tachyeres leucocephalus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",206,20274,1787997,TRUE,FALSE
Southern Grosbeak-Canary,Crithagra buchanani,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",212,20270,1797507,FALSE,FALSE
Black-cheeked Lovebird,Agapornis nigrigenis,Psittaciformes,Psittaculidae (Old World Parrots),208,20227,1910316,TRUE,FALSE
Andean Potoo,Nyctibius maculosus,Caprimulgiformes,Nyctibiidae (Potoos),228,20197,1689544,FALSE,FALSE
Spot-throat,Modulatrix stictigula,Passeriformes,Modulatricidae (Dapple-throat and Allies),228,20183,1978410,TRUE,FALSE
White-lored Antpitta,Hylopezus fulviventris,Passeriformes,Grallariidae (Antpittas),235,20135,1865657,FALSE,FALSE
Crimson-backed Sunbird,Leptocoma minima,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),219,20118,1851117,TRUE,FALSE
Plumbeous Antvireo,Dysithamnus plumbeus,Passeriformes,Thamnophilidae (Typical Antbirds),219,20075,1845054,TRUE,TRUE
Sakalava Rail,Zapornia olivieri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",220,19953,1667166,TRUE,TRUE
Timor Oriole,Oriolus melanotis,Passeriformes,Oriolidae (Old World Orioles),216,19913,1617722,TRUE,FALSE
Forest Bittern,Zonerodius heliosylus,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",202,19900,1760681,TRUE,FALSE
Black-tailed Antbird,Myrmoborus melanurus,Passeriformes,Thamnophilidae (Typical Antbirds),217,19883,1671721,TRUE,FALSE
Rufous-tailed Hawk,Buteo ventralis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",216,19869,1762216,TRUE,FALSE
Caribbean Elaenia,Elaenia martinica,Passeriformes,Tyrannidae (Tyrant Flycatchers),201,19841,1794579,TRUE,FALSE
Pied Cuckoo-Dove,Reinwardtoena browni,Columbiformes,Columbidae (Pigeons and Doves),228,19817,1820474,TRUE,FALSE
Giant Babax,Ianthocincla waddelli,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),210,19788,1575147,TRUE,FALSE
Kungwe Apalis,Apalis argentea,Passeriformes,Cisticolidae (Cisticolas and Allies),237,19728,1767505,TRUE,FALSE
Green Manakin,Cryptopipo holochlora,Passeriformes,Pipridae (Manakins),206,19505,1768019,FALSE,FALSE
New Zealand Robin,Petroica australis,Passeriformes,Petroicidae (Australasian Robins),248,19447,1768478,TRUE,FALSE
Streamertail,Trochilus polytmus,Caprimulgiformes,Trochilidae (Hummingbirds),233,19391,1543463,TRUE,FALSE
Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),224,19216,1934917,FALSE,FALSE
Verreaux's Partridge,Tetraophasis obscurus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",196,19184,1703580,FALSE,FALSE
Southern Sooty-Woodpecker,Mulleripicus fuliginosus,Piciformes,Picidae (Woodpeckers),203,19103,1857588,TRUE,FALSE
Boat-billed Tody-Tyrant,Hemitriccus josephinae,Passeriformes,Tyrannidae (Tyrant Flycatchers),224,19083,1770214,FALSE,FALSE
Golden Tanager,Tangara arthus,Passeriformes,Thraupidae (Tanagers and Allies),223,19081,1693491,TRUE,FALSE
Furtive Flycatcher,Ficedula disposita,Passeriformes,Muscicapidae (Old World Flycatchers),197,19041,1674017,TRUE,FALSE
Black-fronted Flowerpecker,Dicaeum igniferum,Passeriformes,Dicaeidae (Flowerpeckers),227,18895,1761046,TRUE,FALSE
Neumann's Warbler,Urosphena neumanni,Passeriformes,Scotocercidae (Bush Warblers and Allies),195,18885,1665393,TRUE,FALSE
Timor Friarbird,Philemon inornatus,Passeriformes,Meliphagidae (Honeyeaters),234,18823,1647998,TRUE,FALSE
Olive-backed Quail-Dove,Leptotrygon veraguensis,Columbiformes,Columbidae (Pigeons and Doves),217,18783,1707670,FALSE,FALSE
Sula Golden-Bulbul,Alophoixus longirostris,Passeriformes,Pycnonotidae (Bulbuls),214,18746,1592562,FALSE,FALSE
Olive-headed Lorikeet,Trichoglossus euteles,Psittaciformes,Psittaculidae (Old World Parrots),211,18726,1745875,TRUE,FALSE
Swamp Prinia,Laticilla cinerascens,Passeriformes,Pellorneidae (Ground Babblers and Allies),200,18715,1612784,FALSE,TRUE
Ochraceous Piculet,Picumnus limae,Piciformes,Picidae (Woodpeckers),210,18693,1510406,TRUE,FALSE
Masked Fruiteater,Pipreola pulchra,Passeriformes,Cotingidae (Cotingas),212,18670,1632631,FALSE,FALSE
Recurve-billed Bushbird,Clytoctantes alixii,Passeriformes,Thamnophilidae (Typical Antbirds),191,18643,1616498,FALSE,TRUE
Falkland Steamer-Duck,Tachyeres brachypterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",257,18577,1559779,TRUE,FALSE
Masked Mountain-Tanager,Buthraupis wetmorei,Passeriformes,Thraupidae (Tanagers and Allies),194,18496,1835920,FALSE,FALSE
Little Flycatcher,Muscicapa epulata,Passeriformes,Muscicapidae (Old World Flycatchers),198,18483,1664469,FALSE,FALSE
Zenker's Honeyguide,Melignomon zenkeri,Piciformes,Indicatoridae (Honeyguides),188,18391,1837066,TRUE,FALSE
Whiskered Pitta,Erythropitta kochi,Passeriformes,Pittidae (Pittas),193,18358,1759933,TRUE,FALSE
Scaly Babbler,Turdoides squamulata,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),186,18323,1650962,TRUE,FALSE
Malayan Peacock-Pheasant,Polyplectron malacense,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",200,18100,1727762,FALSE,TRUE
Sri Lanka Scimitar-Babbler,Pomatorhinus melanurus,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",196,18095,1534337,TRUE,FALSE
Long-wattled Umbrellabird,Cephalopterus penduliger,Passeriformes,Cotingidae (Cotingas),188,18071,1673636,TRUE,FALSE
Slate-throated Gnatcatcher,Polioptila schistaceigula,Passeriformes,Polioptilidae (Gnatcatchers),220,18027,1691203,TRUE,FALSE
Brown Nunlet,Nonnula brunnea,Galbuliformes,Bucconidae (Puffbirds),210,18017,1501438,FALSE,FALSE
Ecuadorian Cacique,Cacicus sclateri,Passeriformes,Icteridae (Troupials and Allies),207,17854,1566937,FALSE,FALSE
Pearly-eyed Thrasher,Margarops fuscatus,Passeriformes,Mimidae (Mockingbirds and Thrashers),188,17834,1399807,TRUE,FALSE
Kalkadoon Grasswren,Amytornis ballarae,Passeriformes,Maluridae (Fairywrens),196,17763,1719043,TRUE,FALSE
Russet-capped Tesia,Tesia everetti,Passeriformes,Scotocercidae (Bush Warblers and Allies),214,17763,1624780,TRUE,FALSE
Yellow-eared Honeyeater,Lichmera flavicans,Passeriformes,Meliphagidae (Honeyeaters),179,17572,1547899,TRUE,FALSE
Whitehead,Mohoua albicilla,Passeriformes,Mohouidae (Whiteheads),191,17539,1613324,TRUE,FALSE
Flores Minivet,Pericrocotus lansbergei,Passeriformes,Campephagidae (Cuckooshrikes),217,17491,1639572,TRUE,FALSE
Bernier's Vanga,Oriolia bernieri,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",199,17394,1570269,TRUE,FALSE
Cream-striped Bulbul,Pycnonotus leucogrammicus,Passeriformes,Pycnonotidae (Bulbuls),172,17355,1694038,TRUE,FALSE
Least Boobook,Ninox sumbaensis,Strigiformes,Strigidae (Owls),188,17346,1640003,TRUE,FALSE
Colonist Kingfisher,Todiramphus colonus,Coraciiformes,Alcedinidae (Kingfishers),182,17324,1664371,FALSE,FALSE
Timor Bushchat,Saxicola gutturalis,Passeriformes,Muscicapidae (Old World Flycatchers),184,17182,1507695,TRUE,FALSE
New Guinea Bronzewing,Henicophaps albifrons,Columbiformes,Columbidae (Pigeons and Doves),196,17121,1452254,TRUE,FALSE
Copper Pheasant,Syrmaticus soemmerringii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",193,16967,1688581,TRUE,FALSE
Tourmaline Sunangel,Heliangelus exortis,Caprimulgiformes,Trochilidae (Hummingbirds),224,16937,1469256,TRUE,FALSE
Golden-rumped Flowerpecker,Dicaeum annae,Passeriformes,Dicaeidae (Flowerpeckers),195,16925,1510226,TRUE,FALSE
Bolivian Recurvebill,Syndactyla striata,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),202,16923,1560676,FALSE,FALSE
Sri Lanka Junglefowl,Gallus lafayettii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",180,16777,1697775,TRUE,FALSE
Yellow-throated Spadebill,Platyrinchus flavigularis,Passeriformes,Tyrannidae (Tyrant Flycatchers),169,16739,1535450,FALSE,FALSE
Buff-winged Starfrontlet,Coeligena lutetiae,Caprimulgiformes,Trochilidae (Hummingbirds),179,16711,1505738,TRUE,FALSE
Salvadori's Pheasant,Lophura inornata,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",162,16679,1480692,TRUE,FALSE
Yellow-crowned Parakeet,Cyanoramphus auriceps,Psittaciformes,Psittaculidae (Old World Parrots),190,16648,1417469,TRUE,FALSE
Sri Lanka Woodshrike,Tephrodornis affinis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",182,16632,1425330,TRUE,FALSE
Black-winged Lory,Eos cyanogenia,Psittaciformes,Psittaculidae (Old World Parrots),188,16631,1322904,TRUE,FALSE
Blood-colored Woodpecker,Dryobates sanguineus,Piciformes,Picidae (Woodpeckers),167,16582,1457692,TRUE,FALSE
Snowy-bellied Hummingbird,Amazilia edward,Caprimulgiformes,Trochilidae (Hummingbirds),184,16545,1674236,TRUE,FALSE
Timor Stubtail,Urosphena subulata,Passeriformes,Scotocercidae (Bush Warblers and Allies),180,16518,1460979,TRUE,FALSE
Azure-rumped Parrot,Tanygnathus sumatranus,Psittaciformes,Psittaculidae (Old World Parrots),184,16456,1423121,TRUE,FALSE
Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),191,16416,1388940,FALSE,FALSE
Rufous-faced Crake,Laterallus xenopterus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",186,16397,1550645,TRUE,FALSE
Rufous-cheeked Tanager,Tangara rufigenis,Passeriformes,Thraupidae (Tanagers and Allies),189,16218,1488105,FALSE,FALSE
Painted Quail-thrush,Cinclosoma ajax,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),175,16186,1421296,TRUE,FALSE
Pale Cicadabird,Edolisoma ceramense,Passeriformes,Campephagidae (Cuckooshrikes),187,16037,1455761,TRUE,FALSE
Sooty Albatross,Phoebetria fusca,Procellariiformes,Diomedeidae (Albatrosses),180,15995,1397535,FALSE,FALSE
Cuban Parrot,Amazona leucocephala,Psittaciformes,Psittacidae (New World and African Parrots),152,15941,1441207,TRUE,FALSE
Gray-cheeked Nunlet,Nonnula frontalis,Galbuliformes,Bucconidae (Puffbirds),166,15940,1361182,FALSE,FALSE
Brown Teal,Anas chlorotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",173,15915,1402282,TRUE,FALSE
Lita Woodpecker,Piculus litae,Piciformes,Picidae (Woodpeckers),165,15872,1438359,TRUE,FALSE
Slender-billed Tyrannulet,Inezia tenuirostris,Passeriformes,Tyrannidae (Tyrant Flycatchers),165,15866,1419092,TRUE,FALSE
Ashy Flowerpecker,Dicaeum vulneratum,Passeriformes,Dicaeidae (Flowerpeckers),167,15851,1456443,TRUE,FALSE
Large Blue Flycatcher,Cyornis magnirostris,Passeriformes,Muscicapidae (Old World Flycatchers),187,15772,1458860,FALSE,FALSE
Taiwan Barbet,Psilopogon nuchalis,Piciformes,Megalaimidae (Asian Barbets),161,15760,1625238,TRUE,FALSE
Malindi Pipit,Anthus melindae,Passeriformes,Motacillidae (Wagtails and Pipits),171,15726,1400677,TRUE,FALSE
Pycroft's Petrel,Pterodroma pycrofti,Procellariiformes,Procellariidae (Shearwaters and Petrels),157,15701,1364774,FALSE,FALSE
Large Wren-Babbler,Turdinus macrodactylus,Passeriformes,Pellorneidae (Ground Babblers and Allies),178,15686,1494044,TRUE,FALSE
Atlantic Petrel,Pterodroma incerta,Procellariiformes,Procellariidae (Shearwaters and Petrels),172,15541,1382287,FALSE,FALSE
Thick-billed Vireo,Vireo crassirostris,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",180,15539,1365958,TRUE,FALSE
Seram Imperial-Pigeon,Ducula neglecta,Columbiformes,Columbidae (Pigeons and Doves),175,15509,1317896,TRUE,FALSE
Tolima Blossomcrown,Anthocephala berlepschi,Caprimulgiformes,Trochilidae (Hummingbirds),160,15483,1434128,FALSE,FALSE
Kea,Nestor notabilis,Psittaciformes,Strigopidae (New Zealand Parrots),184,15417,1360900,TRUE,FALSE
Black-capped Sparrow,Arremon abeillei,Passeriformes,Passerellidae (New World Sparrows),173,15409,1369843,TRUE,FALSE
Long-billed Cuckoo,Chrysococcyx megarhynchus,Cuculiformes,Cuculidae (Cuckoos),191,15391,1625564,TRUE,FALSE
Thick-billed Ground-Pigeon,Trugon terrestris,Columbiformes,Columbidae (Pigeons and Doves),165,15383,1397067,TRUE,FALSE
White-rimmed Brushfinch,Atlapetes leucopis,Passeriformes,Passerellidae (New World Sparrows),162,15347,1359049,FALSE,FALSE
Sharp-beaked Ground-Finch,Geospiza difficilis,Passeriformes,Thraupidae (Tanagers and Allies),165,15307,1523730,TRUE,FALSE
Wallacean Drongo,Dicrurus densus,Passeriformes,Dicruridae (Drongos),152,15263,1421833,TRUE,FALSE
Hartlaub's Bustard,Lissotis hartlaubii,Otidiformes,Otididae (Bustards),155,15238,1457400,TRUE,FALSE
Lovely Sunbird,Aethopyga shelleyi,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),184,15234,1367841,TRUE,FALSE
Mindanao Brown-Dove,Phapitreron brunneiceps,Columbiformes,Columbidae (Pigeons and Doves),168,15214,1505263,FALSE,FALSE
Wattled Brushturkey,Aepypodius arfakianus,Galliformes,Megapodiidae (Megapodes),178,15150,1510643,TRUE,FALSE
Timor Leaf Warbler,Phylloscopus presbytes,Passeriformes,Phylloscopidae (Leaf Warblers),166,15148,1311501,TRUE,FALSE
White-browed Tapaculo,Scytalopus superciliaris,Passeriformes,Rhinocryptidae (Tapaculos),198,15108,1602175,TRUE,FALSE
Painted Bush-Quail,Perdicula erythrorhyncha,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",158,15051,1506279,FALSE,FALSE
Western Wattled-Honeyeater,Foulehaio procerior,Passeriformes,Meliphagidae (Honeyeaters),158,15051,1384416,TRUE,FALSE
Tit-like Dacnis,Xenodacnis parina,Passeriformes,Thraupidae (Tanagers and Allies),153,15036,1421791,TRUE,FALSE
White-rumped Kingfisher,Caridonax fulgidus,Coraciiformes,Alcedinidae (Kingfishers),147,14956,1429091,TRUE,FALSE
Northern Fantail,Rhipidura rufiventris,Passeriformes,Rhipiduridae (Fantails),172,14925,1309929,TRUE,FALSE
Brown-capped Fantail,Rhipidura diluta,Passeriformes,Rhipiduridae (Fantails),161,14841,1508364,TRUE,FALSE
Semicollared Hawk,Accipiter collaris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",166,14824,1294429,FALSE,FALSE
Elliot's Pheasant,Syrmaticus ellioti,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",152,14779,1245711,TRUE,FALSE
Masked Saltator,Saltator cinctus,Passeriformes,Thraupidae (Tanagers and Allies),175,14767,1390842,TRUE,FALSE
Sichuan Thrush,Zoothera griseiceps,Passeriformes,Turdidae (Thrushes and Allies),166,14740,1410679,FALSE,FALSE
Forbes's Rail,Rallina forbesi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",150,14685,1353557,FALSE,FALSE
Sumba Boobook,Ninox rudolfi,Strigiformes,Strigidae (Owls),152,14676,1326319,TRUE,FALSE
Rufescent Antshrike,Thamnistes rufescens,Passeriformes,Thamnophilidae (Typical Antbirds),149,14653,1252671,FALSE,FALSE
